index,input,output
917,-0.124866,-0.474476
918,-0.123693,-0.470044
919,-0.122521,-0.465612
920,-0.121348,-0.461179
921,-0.120176,-0.456746
922,-0.119003,-0.452312
923,-0.117831,-0.447877
924,-0.116659,-0.443443
925,-0.115486,-0.439008
926,-0.114314,-0.434572
927,-0.113141,-0.430137
928,-0.111969,-0.4257
929,-0.110796,-0.421263
930,-0.109624,-0.416826
931,-0.108451,-0.412388
932,-0.107279,-0.40795
933,-0.106106,-0.403511
934,-0.104934,-0.399072
935,-0.103762,-0.394632
936,-0.102589,-0.390192
937,-0.101417,-0.385751
938,-0.100244,-0.38131
939,-0.0990719,-0.376869
940,-0.0978994,-0.372427
941,-0.0967269,-0.367984
942,-0.0955545,-0.363542
943,-0.0943819,-0.359098
944,-0.0932096,-0.354655
945,-0.0920372,-0.350211
946,-0.0908647,-0.345766
947,-0.0896922,-0.341321
948,-0.0885197,-0.336875
949,-0.0873474,-0.332429
950,-0.086175,-0.327983
951,-0.0850024,-0.323536
952,-0.08383,-0.319089
953,-0.0826575,-0.314641
954,-0.0814852,-0.310193
955,-0.0803127,-0.305744
956,-0.0791402,-0.301295
957,-0.0779678,-0.296845
958,-0.0767952,-0.292395
959,-0.0756229,-0.287945
960,-0.0744505,-0.283495
961,-0.073278,-0.279043
962,-0.0721055,-0.274591
963,-0.070933,-0.270139
964,-0.0697607,-0.265687
965,-0.0685883,-0.261234
966,-0.0674157,-0.25678
967,-0.0662433,-0.252326
968,-0.0650707,-0.247872
969,-0.0638984,-0.243418
970,-0.062726,-0.238962
971,-0.0615535,-0.234506
972,-0.0603811,-0.230051
973,-0.0592085,-0.225594
974,-0.0580362,-0.221137
975,-0.0568638,-0.21668
976,-0.0556912,-0.212222
977,-0.0545188,-0.207764
978,-0.0533463,-0.203305
979,-0.052174,-0.198847
980,-0.0510015,-0.194387
981,-0.049829,-0.189927
982,-0.0486566,-0.185467
983,-0.047484,-0.181006
984,-0.0463116,-0.176545
985,-0.0451393,-0.172084
986,-0.0439668,-0.167621
987,-0.0427943,-0.163159
988,-0.0416218,-0.158696
989,-0.0404494,-0.154233
990,-0.0392771,-0.14977
991,-0.0381045,-0.145305
992,-0.0369321,-0.140841
